run_id,exp,model,variant,mode,partition,alpha,seed,n_params,rounds,final_accuracy,final_f1_macro,final_f1_weighted,best_accuracy,bytes_per_round_uplink_per_client,total_uplink_bytes
e1_botiot_binary_kan_h16__dir0.1__seed11,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,11,6560,50,0.9978221905294197,0.9978221788809849,0.9978221898499277,0.9978221905294197,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed17,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,17,6560,50,0.9973596469250486,0.9973596436259036,0.9973596500535483,0.9979378264305124,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed2024,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,2024,6560,50,0.9596623431688092,0.9596602919165307,0.959659665452997,0.9596623431688092,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed2026,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,2026,6560,50,0.9590070730626168,0.9589459553666636,0.9589425056665424,0.9663306801318249,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed23,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,23,6560,50,0.9727677452926552,0.9727510588963144,0.9727495903894713,0.9748877368126891,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed29,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,29,6560,50,0.8072349528783703,0.7997446073729881,0.7998289530672689,0.8140767436930252,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed31,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,31,6560,50,0.9726135640911981,0.9725998694238287,0.972598535374335,0.9739241043035828,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed37,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,37,6560,50,0.9962996511650317,0.9962995956354788,0.9962996268535856,0.9974752828261414,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed42,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,42,6560,50,0.9976101913774164,0.997610190162211,0.9976101938735139,0.9984967332857941,28880,14440000
e1_botiot_binary_kan_h16__dir0.1__seed43,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,0.1,43,6560,50,0.9243548480351533,0.9239241735191017,0.923936639251764,0.9708212076242604,28880,14440000
e1_botiot_binary_kan_h16__dir1.0__seed2024,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,1.0,2024,6560,50,0.9971476477730453,0.9971476477635102,0.9971476481226683,0.9971861930734095,28880,14440000
e1_botiot_binary_kan_h16__dir1.0__seed2026,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,1.0,2026,6560,50,0.9968200127199491,0.996820012488442,0.9968200106198486,0.9973981922254129,28880,14440000
e1_botiot_binary_kan_h16__dir1.0__seed42,e1_botiot_binary_kan_h16,kan,kan_h16,binary,dirichlet,1.0,42,6560,50,0.9967429221192207,0.9967429219450104,0.9967429203045312,0.9968971033206776,28880,14440000
e1_botiot_binary_kan_h16__iid__seed2024,e1_botiot_binary_kan_h16,kan,kan_h16,binary,iid,,2024,6560,50,0.9757550060708848,0.9757446334103752,0.9757435410425862,0.9758899146221597,28880,14440000
e1_botiot_binary_kan_h16__iid__seed2026,e1_botiot_binary_kan_h16,kan,kan_h16,binary,iid,,2026,6560,50,0.9756779154701563,0.9756667191869854,0.9756655824574273,0.9758128240214312,28880,14440000
e1_botiot_binary_kan_h16__iid__seed42,e1_botiot_binary_kan_h16,kan,kan_h16,binary,iid,,42,6560,50,0.9753502804170602,0.9753386252538582,0.9753374576710196,0.9755237342686993,28880,14440000
e1_botiot_binary_kan_h8__dir0.1__seed11,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,11,3280,50,0.9360148013953399,0.9357604396428703,0.9357692429745791,0.995278200705379,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed17,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,17,3280,50,0.9981498255825159,0.9981498224975818,0.9981498277005303,0.9982269161832443,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed2024,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,2024,3280,50,0.9125599861236918,0.9123952550447255,0.9124035282055802,0.9143908878909939,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed2026,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,2026,3280,50,0.9650394125696224,0.9650119001224642,0.9650097634169462,0.9667546784358317,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed23,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,23,3280,50,0.9690288511573226,0.969004511740275,0.9690026201624715,0.9690288511573226,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed29,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,29,3280,50,0.806888045175092,0.7993842197437853,0.7994687172299575,0.814654923198489,15376,7688000
e1_botiot_binary_kan_h8__dir0.1__seed31,e1_botiot_binary_kan_h8,kan,kan_h8,binary,dirichlet,0.1,31,3280,50,0.9715535683311812,0.9715370229102764,0.971535528399835,0.9728255632432016,15376,7688000
